quality,entropia,min_intensidad,max_intensidad,rango_dinamico,std_intensidad,var_intensidad,nitidez_borde,mse_mediana,snr_mediana,mse_gauss,snr_gauss,energia,imagen
4,7.37899417544526,0,255,255,47.1979436132795,2227.64588132231,37240219,1.3766041265701,-1.38809067080228,0.198808983649741,7.01563994881572,68027076789,image_0009.jpg
2,7.31543272708983,0,199,199,51.6737171033286,2670.17303927483,6392445,0.0946056356340384,10.2408299201402,0.0252897068666248,15.9705620454034,51335771609,image_0023.jpg
4,6.52013611832667,0,230,230,48.1004318562818,2313.65154476081,21067638,0.194014965744244,7.12164768577719,0.0321900668514169,14.92278121383,111553642883,image_0032.jpg
2,7.24886791298182,1,212,211,37.7917980607047,1428.22000066109,6073858,0.0365097717669025,14.3759088194166,0.00815556283519777,20.8854606187253,53431787358,image_0038.jpg
2,6.68409618101644,0,173,173,45.6103902231497,2080.30769630799,8478125,0.0793685976453837,11.0035129312579,0.0308734193155632,15.1041526855339,100521712237,image_0040.jpg
4,6.91455569576172,0,245,245,52.5414017878394,2760.59890183118,23327461,0.236315144861657,6.26508444600895,0.0384677946958172,14.1490271046704,122401700693,image_0048.jpg
1,4.25845498482114,0,22,22,5.72444580028365,32.7692797203851,2028559,0.00544883939309072,22.6369599292584,0.0013816315943241,28.5960774414085,1580398652,image_0065.jpg
2,7.00800811453179,0,162,162,43.0853274849477,1856.34544448519,8590615,0.0845837558615058,10.7271303432613,0.0209348644762308,16.7912984620889,94573371651,image_0067.jpg
3,7.20242772215563,0,255,255,76.8178932099278,5900.98871721187,2301501781,4318.63119666556,-36.3534611766363,773.784964479681,-28.8862028663239,82824254263,image_0068.jpg
4,6.71330497772681,0,207,207,40.0423201088083,1603.38739969627,24028465,0.267712523074201,5.72331312881749,0.0405211378342352,13.9231836814414,74534602915,image_0069.jpg
4,6.67464405837004,0,211,211,49.9702792810287,2497.02881142401,21939115,0.209856647062377,6.78077270260963,0.0346723991894037,14.6001610588705,114707446669,image_0078.jpg
4,6.63463065598137,0,201,201,43.4538182905798,1888.23432403073,24207312,0.267401939794778,5.72835446591191,0.0414647305163538,13.8232115279802,92455011517,image_0086.jpg
4,7.00741121780431,0,218,218,54.3368532775965,2952.49362411105,20512785,0.183604200533641,7.36117387145054,0.0312946602958263,15.0452975836053,145513178406,image_0094.jpg
4,7.11243624689246,0,221,221,48.2871661676679,2331.65041650398,22815604,0.232385888289428,6.33790248158255,0.0374358208797163,14.2671263937253,108778571720,image_0098.jpg
1,5.58924884159482,0,79,79,10.5488742774779,111.278748522035,7125233,0.0520004770631802,12.8399267203912,0.0106698974856753,19.7183975317341,3284679302,image_0099.jpg
3,6.81485132137822,0,255,255,75.0172904364869,5627.59386443223,3092522561,3960.35644220143,-35.9773427529792,713.117321330603,-28.5316098541284,110497187788,image_0100.jpg
2,7.02578034745131,0,187,187,39.8102089503902,1584.85273667373,5068850,0.067842107752708,11.6850066766245,0.0159093431526107,17.983477506542,30750565285,image_0101.jpg
2,6.98192298478904,1,195,194,38.8962075934791,1512.91496515502,6037372,0.0492921401515151,13.0722232536697,0.0110958180778204,19.5484067237875,56486623249,image_0116.jpg
4,7.46434312467709,0,255,255,42.6586176148777,1819.75765681236,37262728,1.34862809290677,-1.29892202105648,0.193944688185911,7.12322110485881,51049740682,image_0128.jpg
1,5.18379334153799,0,67,67,9.37584986519055,87.9065606945938,3536110,0.0194291015625,17.1154728151395,0.00460890104639469,23.3640261612501,2739291431,image_0131.jpg
1,5.0222683268159,0,49,49,7.238393053228,52.3943339930193,4139655,0.0211935876421021,16.7379551986854,0.00484003450232404,23.1515154246395,1651103540,image_0132.jpg
2,7.23002038036766,1,174,173,38.2317948948391,1461.67014088105,5908395,0.0403922120122687,13.9370236276423,0.00902234260993536,20.4468068524327,50905631812,image_0140.jpg
4,7.20343649833441,0,255,255,38.8672698440443,1510.66466512975,40140697,1.55519705329486,-1.91785424704761,0.219925814929975,6.5772379008613,45304663021,image_0142.jpg
3,7.06372036596846,0,255,255,80.6312677189413,6501.40133396359,3311105396,4469.3392569772,-36.5024332217904,802.565125048582,-29.0448028382041,133711043732,image_0147.jpg
1,5.98401356883892,0,101,101,15.0028423077128,225.085277310097,9981265,0.106001295263396,9.74688827920995,0.019068338455521,17.1968714812004,6532827509,image_0163.jpg
4,6.46423942483442,0,187,187,43.1038887515578,1857.94522550667,22410655,0.231880446780119,6.34735871515198,0.0364260539241006,14.3858787382566,93557524772,image_0175.jpg
4,6.65532737521917,0,205,205,36.5530450928669,1336.12510556116,24245856,0.274366438807662,5.61669013708924,0.0411353150442916,13.8578517220066,59264603152,image_0176.jpg
2,7.09100351553874,0,176,176,45.1653777597998,2039.91134818542,8802142,0.0773310228825812,11.1164624522965,0.0241922930379176,16.1632296559771,100245915492,image_0190.jpg
1,4.86397660059673,0,34,34,7.48812952032933,56.0720837132275,2789387,0.00822912684077995,20.8464624356641,0.00204617175927233,26.8905791364765,2587863970,image_0202.jpg
1,5.1183206852273,0,56,56,7.80554548743887,60.9265403564772,4487657,0.02632265625,15.7967028768307,0.00566924133797107,22.4647505482449,1670193762,image_0204.jpg
4,6.99331826992657,0,250,250,46.2755648963021,2141.42790647187,40224383,2.89566830842391,-4.61748813025364,0.720332702299174,1.42466868291913,50425577488,image_0206.jpg
4,6.63259178971925,0,201,201,44.0276439945007,1938.43343570649,25104211,0.282483034039632,5.49007630832973,0.043678827009904,13.5972903307727,87475285718,image_0207.jpg
